id,r_id,x,y,z,xr,yr,zr,time
78,0,1.398,0,0,0,0,0,2963
79,0,1.398,0,0,0,0,0,2977
80,0,1.398,0,0,0,0,0,2991
81,0,1.398,0,0,0,0,0,3005
82,0,1.398,0,0,0,0,0,3020
83,0,1.398,0,0,0,0,0,3045
84,0,1.398,0,0,0,0,0,3060
85,0,1.398,0,0,0,0,0,3102
86,0,1.398,0,0,0,0,0,3116
87,0,1.398,0,0,0,0,0,3130
88,0,1.398,0,0,0,0,0,3142
89,0,1.398,0,0,0,0,0,3156
90,0,1.398,0,0,0,0,0,3169
91,0,1.398,0,0,0,0,0,3181
92,0,1.398,0,0,0,0,0,3191
93,0,1.398,0,0,0,0,0,3202
94,0,1.398,0,0,0,0,0,3214
95,0,1.398,0,0,0,0,0,3247
96,0,1.398,0,0,0,0,0,3260
97,0,1.398,0,0,0,0,0,3275
98,0,1.398,0,0,0,0,0,3290
99,0,1.398,0,0,0,0,0,3305
100,0,1.398,0,0,0,0,0,3319
101,0,1.398,0,0,0,0,0,3333
102,0,1.398,0,0,0,0,0,3349
103,0,1.398,0,0,0,0,0,3362
104,0,1.398,0,0,0,0,0,3375
105,0,1.398,0,0,0,0,0,3410
106,0,1.398,0,0,0,0,0,3424
107,0,1.398,0,0,0,0,0,3437
108,0,1.398,0,0,0,0,0,3449
109,0,1.398,0,0,0,0,0,3463
110,0,1.398,0,0,0,0,0,3477
111,0,1.398,0,0,0,0,0,3490
112,0,1.398,0,0,0,0,0,3541
113,0,1.398,0,0,0,0,0,3573
114,0,1.398,0,0,0,0,0,3588
115,0,1.398,0,0,0,0,0,3599
116,0,1.398,0,0,0,0,0,3610
117,0,1.398,0,0,0,0,0,3622
118,0,1.398,0,0,0,0,0,3633
119,0,1.398,0,0,0,0,0,3645
120,0,1.398,0,0,0,0,0,3658
121,0,1.398,0,0,0,0,0,3669
122,0,1.398,0,0,0,0,0,3682
123,0,1.398,0,0,0,0,0,3694
124,0,1.398,0,0,0,0,0,3729
125,0,1.398,0,0,0,0,0,3741
126,0,1.398,0,0,0,0,0,3755
127,0,1.398,0,0,0,0,0,3768
128,0,1.398,0,0,0,0,0,3783
129,0,1.398,0,0,0,0,0,3800
130,0,1.398,0,0,0,0,0,3811
131,0,1.398,0,0,0,0,0,3823
132,0,1.398,0,0,0,0,0,3834
133,0,1.398,0.009,0,0,0,0,3848
134,0,1.398,0.132,0,0,0,0,3883
135,0,1.398,0.184,0,0,0,0,3900
136,0,1.398,0.26,0,0,0,0,3917
137,0,1.398,0.335,0,0,0,0,3933
138,0,1.398,0.409,0,0,0,0,3949
139,0,1.398,0.449,0,0,0,0,3963
140,0,1.398,0.55,0,0,0,0,3979
141,0,1.398,0.589,0,0,0,0,3995
142,0,1.398,0.634,0,0,0,0,4009
143,0,1.398,0.715,0,0,0,0,4044
144,0,1.398,0.737,0,0,0,0,4060
145,0,1.398,0.759,0,0,0,0,4075
146,0,1.398,0.787,0,0,0,0,4090
147,0,1.398,0.802,0,0,0,0,4106
148,0,1.398,0.816,0,0,0,0,4121
149,0,1.398,0.823,0,0,0,0,4135
150,0,1.398,0.823,0,0,0,0,4148
151,0,1.398,0.823,0,0,0,0,4163
152,0,1.398,0.823,0,0,0,0,4195
153,0,1.398,0.823,0,0,0,0,4206
154,0,1.398,0.823,0,0,0,0,4219
155,0,1.398,0.823,0,0,0,0,4230
156,0,1.398,0.823,0,0,0,0,4244
157,0,1.398,0.823,0,0,0,0,4258
158,0,1.398,0.823,0,0,0,0,4276
159,0,1.398,0.823,0,0,0,0,4294
160,0,1.398,0.823,0,0,0,0,4316
161,0,1.398,0.823,0,0,0,0,4352
162,0,1.398,0.823,0,0,0,0,4367
163,0,1.398,0.823,0,0,0,0,4382
164,0,1.398,0.823,0,0,0,0,4398
165,0,1.398,0.823,0,0,0,0,4412
166,0,1.398,0.823,0,0,0,0,4422
167,0,1.398,0.823,0,0,0,0,4435
168,0,1.398,0.823,0,0,0,0,4447
169,0,1.398,0.823,0,0,0,0,4460
170,0,1.398,0.823,0,0,0,0,4472
171,0,1.398,0.823,0,0,0,0,4501
172,0,1.398,0.823,0,0,0,0,4514
173,0,1.398,0.823,0,0,0,0,4525
174,0,1.398,0.823,0,0,0,0,4538
175,0,1.398,0.823,0,0,0,0,4548
176,0,1.398,0.823,0,0,0,0,4561
177,0,1.398,0.823,0,0,0,0,4575
178,0,1.398,0.823,0,0,0,0,4588
179,0,1.398,0.823,0,0,0,0,4602
180,0,1.398,0.823,0,0,0,0,4616
181,0,1.398,0.823,0,0,0,0,4631
182,0,1.398,0.823,0,0,0,0,4668
183,0,1.398,0.823,0,0,0,0,4679
184,0,1.398,0.823,0,0,0,0,4691
185,0,1.398,0.823,0,0,0,0,4704
186,0,1.398,0.823,0,0,0,0,4716
187,0,1.398,0.823,0,0,0,0,4727
188,0,1.398,0.823,0,0,0,0,4741
189,0,1.398,0.823,0,0,0,0,4753
190,0,1.398,0.823,0,0,0,0,4764
191,0,1.398,0.823,0,0,0,0,4776
192,0,1.398,0.823,0.011,0,0,0,4791
193,0,1.398,0.823,0.034,0,0,0,4824
194,0,1.398,0.823,0.073,0,0,0,4838
195,0,1.398,0.823,0.105,0,0,0,4852
196,0,1.398,0.823,0.174,0,0,0,4868
197,0,1.398,0.823,0.231,0,0,0,4882
198,0,1.398,0.823,0.31,0,0,0,4901
199,0,1.398,0.823,0.339,0,0,0,4915
200,0,1.398,0.823,0.432,0,0,0,4928
201,0,1.398,0.823,0.542,0,0,0,4944
202,0,1.398,0.823,0.734,0,0,0,4983
203,0,1.398,0.823,0.775,0,0,0,4998
204,0,1.398,0.823,0.861,0,0,0,5013
205,0,1.398,0.823,0.889,0,0,0,5026
206,0,1.398,0.823,0.949,0,0,0,5043
207,0,1.398,0.823,0.995,0,0,0,5058
208,0,1.398,0.823,1.004,0,0,0,5071
209,0,1.398,0.823,1.007,0,0,0,5084
210,0,1.398,0.823,1.007,0,0,0,5096
211,0,1.398,0.823,1.014,0,0,0,5132
212,0,1.398,0.823,1.014,0,0,0,5143
213,0,1.398,0.823,1.014,0,0,0,5155
214,0,1.398,0.823,1.014,0,0,0,5166
215,0,1.398,0.823,1.014,0,0,0,5176
216,0,1.398,0.823,1.014,0,0,0,5185
217,0,1.398,0.823,1.014,0,0,0,5197
218,0,1.398,0.823,1.014,0,0,0,5206
219,0,1.398,0.823,1.014,0,0,0,5220
220,0,1.398,0.823,1.014,0,0,0,5231
